title,price_gbp,price_bucket,rating_stars,in_stock,value_score
Book Title 81,34.95,mid-range,5.0,True,0.143
Book Title 82,30.88,mid-range,4.0,True,0.13
Book Title 83,29.83,mid-range,3.0,False,0.101
Book Title 84,14.13,budget,1.0,True,0.071
Book Title 85,26.09,mid-range,3.0,True,0.115
Book Title 86,20.14,mid-range,3.0,True,0.149
Book Title 87,27.94,mid-range,4.0,True,0.143
Book Title 88,25.22,mid-range,4.0,True,0.159
Book Title 89,30.58,mid-range,5.0,False,0.164
Book Title 90,25.57,mid-range,3.0,False,0.117
Book Title 91,13.09,budget,2.0,True,0.153
Book Title 92,38.55,premium,4.0,True,0.104
Book Title 93,91.03,premium,4.0,True,0.044
Book Title 94,18.71,mid-range,4.0,True,0.214
Book Title 95,32.95,mid-range,4.0,True,0.121
Book Title 96,26.75,mid-range,3.0,True,0.112
Book Title 97,25.74,mid-range,3.0,False,0.117
Book Title 98,25.77,mid-range,3.0,True,0.116
Book Title 99,13.93,budget,1.0,True,0.072
Book Title 100,12.62,budget,2.0,True,0.158
Book Title 101,14.45,budget,1.0,True,0.069
Book Title 102,21.94,mid-range,4.0,True,0.182
Book Title 103,27.85,mid-range,3.0,True,0.108
Book Title 104,21.12,mid-range,3.0,True,0.142
Book Title 105,25.05,mid-range,5.0,True,0.2
Book Title 106,20.07,mid-range,3.0,True,0.149
Book Title 107,24.48,mid-range,3.0,True,0.123
Book Title 108,22.62,mid-range,4.0,True,0.177
Book Title 109,13.07,budget,2.0,True,0.153
Book Title 110,15.46,mid-range,1.0,True,0.065
Book Title 111,23.47,mid-range,3.0,True,0.128
Book Title 112,14.96,budget,2.0,True,0.134
Book Title 113,27.17,mid-range,5.0,True,0.184
Book Title 114,27.39,mid-range,4.0,True,0.146
Book Title 115,17.31,mid-range,4.0,True,0.231
Book Title 116,21.56,mid-range,5.0,False,0.232
Book Title 117,21.69,mid-range,4.0,True,0.184
Book Title 118,16.72,mid-range,2.0,True,0.12
Book Title 119,31.87,mid-range,5.0,True,0.157
Book Title 120,34.85,mid-range,4.0,True,0.115
Book Title 121,31.15,mid-range,4.0,True,0.128
Book Title 122,29.04,mid-range,5.0,True,0.172
Book Title 123,21.89,mid-range,3.0,True,0.137
Book Title 124,11.98,budget,2.0,True,0.167
Book Title 125,17.89,mid-range,2.0,True,0.112
Book Title 126,20.27,mid-range,3.0,True,0.148
Book Title 127,27.94,mid-range,4.0,False,0.143
Book Title 128,25.04,mid-range,5.0,True,0.2
Book Title 129,17.12,mid-range,,True,0.058
Book Title 130,31.2,mid-range,3.0,False,0.096
Book Title 131,21.35,mid-range,3.0,True,0.141
Book Title 132,20.41,mid-range,2.0,True,0.098
Book Title 133,22.14,mid-range,2.0,True,0.09
Book Title 134,19.59,mid-range,3.0,False,0.153
Book Title 135,31.34,mid-range,5.0,True,0.16
Book Title 136,22.08,mid-range,3.0,True,0.136
Book Title 137,22.59,mid-range,3.0,True,0.133
Book Title 138,21.36,mid-range,4.0,True,0.187
Book Title 139,22.15,mid-range,3.0,True,0.135
Book Title 140,32.99,mid-range,,True,0.152
Book Title 141,38.71,premium,5.0,True,0.129
Book Title 142,27.76,mid-range,3.0,True,0.108
Book Title 143,34.92,mid-range,3.0,True,0.086
Book Title 144,17.4,mid-range,3.0,True,0.172
Book Title 145,27.23,mid-range,3.0,True,0.11
Book Title 146,15.1,mid-range,1.0,True,0.066
Book Title 147,39.14,premium,4.0,True,0.102
Book Title 148,17.15,mid-range,3.0,True,0.175
Book Title 149,8.96,budget,1.0,True,0.112
Book Title 150,18.4,mid-range,3.0,True,0.163
Book Title 151,17.26,mid-range,5.0,False,0.29
Book Title 152,18.85,mid-range,3.0,True,0.159
Book Title 153,13.45,budget,2.0,True,0.149
Book Title 154,22.9,mid-range,3.0,True,0.131
Book Title 155,32.05,mid-range,5.0,False,0.156
Book Title 156,33.26,mid-range,3.0,True,0.09
Book Title 157,31.7,mid-range,,True,0.126
Book Title 158,22.54,mid-range,4.0,True,0.177
Book Title 159,16.61,mid-range,3.0,True,0.181
Book Title 160,28.95,mid-range,4.0,False,0.138
Book Title 161,14.08,budget,3.0,True,0.213
Book Title 162,36.99,premium,4.0,True,0.108
Book Title 163,33.08,mid-range,4.0,True,0.121
Book Title 164,23.18,mid-range,4.0,False,0.173
Book Title 165,7.72,budget,2.0,False,0.259
Book Title 166,38.12,premium,5.0,True,0.131
Book Title 167,21.31,mid-range,3.0,False,0.141
Book Title 168,25.43,mid-range,2.0,False,0.079
Book Title 169,4.43,budget,1.0,True,0.226
Book Title 170,22.4,mid-range,4.0,True,0.179
Book Title 171,26.03,mid-range,4.0,True,0.154
Book Title 172,14.28,budget,1.0,True,0.07
Book Title 173,19.3,mid-range,3.0,True,0.155
Book Title 174,21.74,mid-range,2.0,True,0.092
Book Title 175,19.59,mid-range,4.0,True,0.204
Book Title 176,17.15,mid-range,2.0,True,0.117
Book Title 177,26.72,mid-range,4.0,True,0.15
Book Title 178,25.09,mid-range,3.0,True,0.12
Book Title 179,34.27,mid-range,5.0,False,0.146
Book Title 180,11.25,budget,2.0,True,0.178
Book Title 181,12.8,budget,3.0,True,0.234
Book Title 182,25.67,mid-range,,True,0.078
Book Title 183,31.99,mid-range,5.0,True,0.156
Book Title 184,25.51,mid-range,5.0,True,0.196
Book Title 185,31.31,mid-range,3.0,True,0.096
Book Title 186,26.69,mid-range,4.0,True,0.15
Book Title 187,33.08,mid-range,4.0,True,0.121
Book Title 188,26.41,mid-range,4.0,True,0.151
Book Title 189,34.36,mid-range,3.0,True,0.087
Book Title 190,32.53,mid-range,3.0,False,0.092
Book Title 191,16.51,mid-range,2.0,False,0.121
Book Title 192,35.83,premium,5.0,True,0.14
Book Title 193,33.87,mid-range,5.0,True,0.148
Book Title 194,34.21,mid-range,4.0,True,0.117
Book Title 195,16.21,mid-range,3.0,True,0.185
Book Title 196,26.12,mid-range,3.0,False,0.115
Book Title 197,32.35,mid-range,4.0,False,0.124
Book Title 198,19.45,mid-range,5.0,True,0.257
Book Title 199,22.9,mid-range,5.0,True,0.218
Book Title 200,13.76,budget,4.0,True,0.291
Book Title 201,24.38,mid-range,4.0,True,0.164
Book Title 202,22.31,mid-range,2.0,True,0.09
Book Title 203,27.01,mid-range,2.0,False,0.074
Book Title 204,30.44,mid-range,5.0,True,0.164
Book Title 205,35.77,premium,4.0,True,0.112
Book Title 206,5.72,budget,1.0,False,0.175
Book Title 207,7.78,budget,2.0,True,0.257
Book Title 208,25.67,mid-range,4.0,True,0.156
Book Title 209,16.3,mid-range,1.0,True,0.061
Book Title 210,17.8,mid-range,,True,0.112
Book Title 211,13.6,budget,4.0,True,0.294
Book Title 212,25.47,mid-range,4.0,True,0.157
Book Title 213,18.17,mid-range,4.0,True,0.22
Book Title 214,22.02,mid-range,2.0,False,0.091
Book Title 215,28.2,mid-range,4.0,True,0.142
Book Title 216,16.36,mid-range,3.0,False,0.183
Book Title 217,18.92,mid-range,3.0,False,0.159
Book Title 218,19.64,mid-range,4.0,True,0.204
Book Title 219,25.62,mid-range,4.0,False,0.156
Book Title 220,35.73,premium,5.0,True,0.14
Book Title 221,20.09,mid-range,,False,0.199
Book Title 222,29.02,mid-range,4.0,True,0.138
Book Title 223,14.82,budget,2.0,True,0.135
Book Title 224,17.24,mid-range,3.0,True,0.174
Book Title 225,21.36,mid-range,3.0,False,0.14
Book Title 226,15.79,mid-range,3.0,True,0.19
Book Title 227,26.68,mid-range,5.0,True,0.187
Book Title 228,14.81,budget,3.0,False,0.203
Book Title 229,41.79,premium,5.0,True,0.12
Book Title 230,26.21,mid-range,4.0,True,0.153
Book Title 231,21.8,mid-range,4.0,True,0.183
Book Title 232,23.28,mid-range,3.0,True,0.129
Book Title 233,25.33,mid-range,4.0,True,0.158
Book Title 234,20.67,mid-range,3.0,False,0.145
Book Title 235,102.4,premium,2.0,True,0.02
Book Title 236,30.55,mid-range,4.0,True,0.131
Book Title 237,18.82,mid-range,3.0,True,0.159
Book Title 238,10.55,budget,,False,0.095
Book Title 239,24.35,mid-range,4.0,False,0.164
Book Title 240,4.19,budget,2.0,True,0.477
Book Title 241,20.91,mid-range,5.0,False,0.239
Book Title 242,38.2,premium,5.0,True,0.131
Book Title 243,137.11,premium,5.0,True,0.036
Book Title 244,20.51,mid-range,3.0,True,0.146
Book Title 245,17.46,mid-range,1.0,False,0.057
Book Title 246,31.87,mid-range,5.0,True,0.157
Book Title 247,40.47,premium,3.0,True,0.074
Book Title 248,36.72,premium,5.0,True,0.136
Book Title 249,29.23,mid-range,5.0,True,0.171
Book Title 250,24.27,mid-range,5.0,True,0.206
Book Title 251,12.36,budget,3.0,True,0.243
Book Title 252,23.22,mid-range,3.0,True,0.129
Book Title 253,25.46,mid-range,5.0,True,0.196
Book Title 254,13.47,budget,3.0,True,0.223
Book Title 255,14.12,budget,2.0,True,0.142
Book Title 256,19.51,mid-range,4.0,True,0.205
Book Title 257,40.12,premium,5.0,True,0.125
Book Title 258,31.29,mid-range,4.0,True,0.128
Book Title 259,25.95,mid-range,4.0,True,0.154
Book Title 260,26.88,mid-range,2.0,True,0.074
Book Title 261,26.46,mid-range,4.0,True,0.151
Book Title 262,24.83,mid-range,5.0,True,0.201
Book Title 263,27.14,mid-range,2.0,True,0.074
Book Title 264,25.23,mid-range,3.0,True,0.119
Book Title 265,23.78,mid-range,5.0,True,0.21
Book Title 266,24.86,mid-range,4.0,True,0.161
Book Title 267,20.75,mid-range,4.0,True,0.193
Book Title 268,17.7,mid-range,4.0,True,0.226
Book Title 269,27.56,mid-range,3.0,False,0.109
Book Title 270,33.46,mid-range,3.0,True,0.09
Book Title 271,17.61,mid-range,4.0,True,0.227
Book Title 272,29.38,mid-range,4.0,True,0.136
Book Title 273,26.1,mid-range,5.0,True,0.192
Book Title 274,27.08,mid-range,5.0,True,0.185
Book Title 275,18.45,mid-range,3.0,True,0.163
Book Title 276,16.82,mid-range,3.0,False,0.178
Book Title 277,26.29,mid-range,4.0,False,0.152
Book Title 278,21.01,mid-range,4.0,True,0.19
Book Title 279,27.62,mid-range,4.0,True,0.145
Book Title 280,25.7,mid-range,4.0,True,0.156
Book Title 281,28.57,mid-range,5.0,True,0.175
Book Title 282,16.55,mid-range,3.0,True,0.181
Book Title 283,18.54,mid-range,3.0,True,0.162
Book Title 284,22.53,mid-range,2.0,True,0.089
Book Title 285,29.01,mid-range,4.0,True,0.138
Book Title 286,8.13,budget,1.0,True,0.123
Book Title 287,22.6,mid-range,3.0,True,0.133
Book Title 288,30.51,mid-range,4.0,True,0.131
Book Title 289,11.98,budget,3.0,True,0.25
Book Title 290,29.26,mid-range,4.0,True,0.137
Book Title 291,10.02,budget,1.0,False,0.1
Book Title 292,17.42,mid-range,1.0,True,0.057
Book Title 293,21.42,mid-range,4.0,False,0.187
Book Title 294,11.17,budget,3.0,True,0.269
Book Title 295,8.23,budget,2.0,True,0.243
Book Title 296,22.29,mid-range,3.0,True,0.135
Book Title 297,27.56,mid-range,4.0,True,0.145
Book Title 298,12.57,budget,2.0,True,0.159
Book Title 299,29.83,mid-range,4.0,True,0.134
Book Title 300,8.03,budget,2.0,True,0.249
Book Title 190,32.53,mid-range,3.0,False,0.092
Book Title 124,11.98,budget,2.0,True,0.167
Book Title 186,26.69,mid-range,4.0,True,0.15
Book Title 214,22.02,mid-range,2.0,False,0.091
